id,class
0,_@accessori_saldatore_
1,_@forbice_cesoia_
2,_@forbice_cesoia_
3,_@segnaletica_
4,_@accessori_saldatore_
5,_@accessori_saldatore_
6,_@accessori_saldatore_
7,_@accessori_saldatore_
8,_@accessori_saldatore_
9,_@accessori_saldatore_
10,_@accessori_saldatore_
11,_@accessori_saldatore_
12,_@accessori_saldatore_
13,_@accessori_saldatore_
14,_@forbice_cesoia_
15,_@forbice_cesoia_
16,_@segnaletica_
17,_@segnaletica_
18,_@pistola_
19,_@forbice_cesoia_
20,_@segnaletica_
21,_@accessori_saldatore_
22,_@forbice_cesoia_
23,_@accessori_saldatore_
24,_@accessori_saldatore_
25,_@accessori_saldatore_
26,_@accessori_saldatore_
27,_@accessori_saldatore_
28,_@accessori_saldatore_
29,_@accessori_saldatore_
30,_@accessori_saldatore_
31,_@accessori_saldatore_
32,_@accessori_saldatore_
33,_@accessori_saldatore_
34,_@accessori_saldatore_
35,_@accessori_saldatore_
36,_@accessori_saldatore_
37,_@accessori_saldatore_
38,_@accessori_saldatore_
39,_@cacciavite_giravite_cercafase_
40,_@accessori_saldatore_
41,_@accessori_saldatore_
42,_@accessori_saldatore_
43,_@accessori_saldatore_
44,_@segnaletica_
45,_@segnaletica_
46,_@chiave_inglese_poligonale_
47,_@lame_sega_circolare_
48,_@accessori_saldatore_
49,_@segnaletica_
50,_@accessori_saldatore_
51,_@segnaletica_
52,_@accessori_saldatore_
53,_@segnaletica_
54,_@accessori_saldatore_
55,_@forbice_cesoia_
56,_@martello_mazzetta_ascia_
57,_@cacciavite_giravite_cercafase_
58,_@accessori_saldatore_
59,_@accessori_trapano_
60,_@accessori_trapano_
61,_@accessori_trapano_
62,_@accessori_trapano_
63,_@accessori_trapano_
64,_@accessori_trapano_
65,_@accessori_trapano_
66,_@accessori_trapano_
67,_@accessori_trapano_
68,_@accessori_trapano_
69,_@accessori_trapano_
70,_@accessori_trapano_
71,_@accessori_trapano_
72,_@accessori_trapano_
73,_@accessori_trapano_
74,_@accessori_trapano_
75,_@accessori_trapano_
76,_@accessori_trapano_
77,_@accessori_trapano_
78,_@accessori_trapano_
79,_@accessori_trapano_
80,_@accessori_trapano_
81,_@accessori_trapano_
82,_@accessori_trapano_
83,_@accessori_trapano_
84,_@accessori_trapano_
85,_@accessori_trapano_
86,_@accessori_trapano_
87,_@accessori_trapano_
88,_@accessori_trapano_
89,_@accessori_trapano_
90,_@accessori_trapano_
91,_@accessori_trapano_
92,_@accessori_trapano_
93,_@accessori_trapano_
94,_@accessori_trapano_
95,_@accessori_trapano_
96,_@accessori_trapano_
97,_@accessori_trapano_
98,_@accessori_trapano_
99,_@accessori_trapano_
100,_@accessori_trapano_
101,_@accessori_trapano_
102,_@accessori_trapano_
103,_@accessori_trapano_
104,_@accessori_trapano_
105,_@accessori_trapano_
106,_@accessori_trapano_
107,_@accessori_trapano_
108,_@accessori_trapano_
109,_@accessori_trapano_
110,_@accessori_trapano_
111,_@accessori_trapano_
112,_@accessori_trapano_
113,_@accessori_trapano_
114,_@accessori_trapano_
115,_@accessori_trapano_
116,_@accessori_trapano_
117,_@accessori_trapano_
118,_@accessori_trapano_
119,_@accessori_trapano_
120,_@accessori_trapano_
121,_@accessori_trapano_
122,_@accessori_trapano_
123,_@accessori_trapano_
124,_@accessori_trapano_
125,_@accessori_trapano_
126,_@accessori_trapano_
127,_@accessori_trapano_
128,_@accessori_trapano_
129,_@accessori_trapano_
130,_@accessori_trapano_
131,_@accessori_trapano_
132,_@accessori_trapano_
133,_@accessori_trapano_
134,_@accessori_trapano_
135,_@accessori_trapano_
136,_@accessori_trapano_
137,_@accessori_trapano_
138,_@accessori_trapano_
139,_@accessori_trapano_
140,_@accessori_trapano_
141,_@accessori_trapano_
142,_@accessori_trapano_
143,_@sega-a-tazza_
144,_@accessori_trapano_
145,_@accessori_trapano_
146,_@accessori_trapano_
147,_@accessori_trapano_
148,_@accessori_trapano_
149,_@accessori_trapano_
150,_@accessori_trapano_
151,_@accessori_trapano_
152,_@accessori_trapano_
153,_@accessori_trapano_
154,_@accessori_trapano_
155,_@accessori_trapano_
156,_@accessori_trapano_
157,_@accessori_trapano_
158,_@accessori_trapano_
159,_@accessori_trapano_
160,_@accessori_trapano_
161,_@accessori_trapano_
162,_@accessori_trapano_
163,_@accessori_trapano_
164,_@accessori_trapano_
165,_@accessori_trapano_
166,_@accessori_trapano_
167,_@accessori_trapano_
168,_@accessori_trapano_
169,_@accessori_trapano_
170,_@accessori_trapano_
171,_@accessori_trapano_
172,_@accessori_trapano_
173,_@accessori_trapano_
174,_@accessori_trapano_
175,_@accessori_trapano_
176,_@accessori_trapano_
177,_@accessori_trapano_
178,_@accessori_trapano_
179,_@accessori_trapano_
180,_@accessori_trapano_
181,_@sega-a-tazza_
182,_@accessori_trapano_
183,_@accessori_trapano_
184,_@accessori_trapano_
185,_@accessori_trapano_
186,_@accessori_trapano_
187,_@accessori_trapano_
188,_@accessori_trapano_
189,_@accessori_trapano_
190,_@accessori_trapano_
191,_@accessori_trapano_
192,_@accessori_trapano_
193,_@accessori_trapano_
194,_@accessori_trapano_
195,_@accessori_trapano_
196,_@accessori_trapano_
197,_@accessori_trapano_
198,_@accessori_trapano_
199,_@accessori_trapano_
200,_@accessori_trapano_
201,_@accessori_trapano_
202,_@accessori_trapano_
203,_@segnaletica_
204,_@accessori_trapano_
205,_@accessori_trapano_
206,_@accessori_trapano_
207,_@accessori_trapano_
208,_@accessori_trapano_
209,_@accessori_trapano_
210,_@accessori_trapano_
211,_@accessori_trapano_
212,_@accessori_trapano_
